geo_point_2d;geo_shape;objectid_1;codeunique;nom_long;nom_so_gar;nom_su_gar;id_ref_zdc;nom_zdc;id_ref_zda;nom_zda;idrefliga;idrefligc;res_com;mode;train;rer;metro;tramway;val;tertrain;terrer;termetro;tertram;terval;exploitant;idf;principal;x;y
48.74348398592533, 1.921036600039738;"{""coordinates"": [1.921036600039738, 48.74348398592533], ""type"": ""Point""}";94;83;Coignières;;;63369;Coignières;47932;Coignières;A01847;C01736;TRAIN N;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;620663.0266;6849805.0329
48.831916184270455, 1.9444017526183812;"{""coordinates"": [1.944401752618381, 48.831916184270455], ""type"": ""Point""}";98;88;Plaisir-Grignon;;;64199;Plaisir - Grignon;47885;Plaisir - Grignon;A01847;C01736;TRAIN N;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;1;622512.422;6859613.5503
48.802601980007424, 1.816466794219013;"{""coordinates"": [1.816466794219013, 48.802601980007424], ""type"": ""Point""}";100;90;Montfort-L'Amaury-Méré;;;63955;Montfort-l'Amaury - Méré;46850;Montfort-l'Amaury - Méré;A01847;C01736;TRAIN N;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;613073.0003;6856487.5904
48.85999873133799, 1.8755955902826595;"{""coordinates"": [1.87559559028266, 48.85999873133799], ""type"": ""Point""}";101;91;Beynes;;;64338;Beynes;46857;Beynes;A01847;C01736;TRAIN N;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;617506.4097;6862805.5645
48.89298157657328, 1.8718454136365534;"{""coordinates"": [1.871845413636553, 48.89298157657328], ""type"": ""Point""}";102;92;Mareil-sur-Mauldre;;;64572;Mareil-sur-Mauldre;46884;Mareil-sur-Mauldre;A01847;C01736;TRAIN N;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;617283.6891;6866476.7085
48.8979734490241, 2.1221174460636694;"{""coordinates"": [2.122117446063669, 48.8979734490241], ""type"": ""Point""}";105;96;Le Vésinet-Le Pecq;;;64582;Le Vésinet - Le Pecq;43237;Le Vésinet - Le Pecq;A01856;C01742;RER A;RER;0;1;0;0;0;0;0;0;0;0;RATP;1;0;635638.9456;6866798.6738
48.513754590975296, 3.25003498258305;"{""coordinates"": [3.25003498258305, 48.513754590975296], ""type"": ""Point""}";109;41;Longueville;;;61858;Longueville;47914;Longueville;A01844;C01730;TRAIN P;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;1;718466.6694;6823752.4743
48.5554261045623, 3.301796476078171;"{""coordinates"": [3.301796476078171, 48.5554261045623], ""type"": ""Point""}";110;42;Provins;;;62139;Provins;47181;Provins;A01844;C01730;TRAIN P;TRAIN;1;0;0;0;0;1;0;0;0;0;SNCF;1;1;722271.8619;6828398.1959
48.56494949387185, 2.594551816021531;"{""coordinates"": [2.594551816021531, 48.56494949387185], ""type"": ""Point""}";117;51;Cesson;;;62176;Cesson;42516;Cesson;A01842;C01728;RER D;RER;0;1;0;0;0;0;0;0;0;0;SNCF;1;0;670084.3833;6829491.1235
48.38677098654152, 2.8420373901686546;"{""coordinates"": [2.842037390168655, 48.38677098654152], ""type"": ""Point""}";127;65;Vernou-sur-Seine;;;61450;Vernou-sur-Seine;43218;Vernou-sur-Seine;A01845;C01731;TRAIN R;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;688305.2106;6809619.785
48.996630090664, 2.097773988463467;"{""coordinates"": [2.097773988463467, 48.996630090664], ""type"": ""Point""}";129;129;Conflans-Sainte-Honorine;;;66095;Conflans Sainte-Honorine;47447;Conflans-Sainte-Honorine;A01852;C01739;TRAIN J;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;633979.6592;6877789.1132
48.992591955638225, 1.9135305067095134;"{""coordinates"": [1.913530506709513, 48.992591955638225], ""type"": ""Point""}";131;132;Les Mureaux;;;65994;Les Mureaux;47881;Les Mureaux;A01852;C01739;TRAIN J;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;620492.252;6877509.8516
48.842719956143625, 2.138125057385087;"{""coordinates"": [2.138125057385087, 48.842719956143625], ""type"": ""Point""}";138;146;La Celle-Saint-Cloud;;;64251;La Celle-Saint-Cloud;47880;La Celle-Saint-Cloud;A02176;C01740;TRAIN L;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;636745.4198;6860642.1218
48.712628985663855, 2.4036331022108945;"{""coordinates"": [2.403633102210895, 48.712628985663855], ""type"": ""Point""}";139;150;Athis-Mons;;;63134;Athis-Mons;46395;Athis-Mons;A01840;C01727;RER C;RER;0;1;0;0;0;0;0;0;0;0;SNCF;1;0;656121.8461;6845998.1465
48.716946290291894, 2.2456725159021556;"{""coordinates"": [2.245672515902156, 48.716946290291894], ""type"": ""Point""}";151;172;Palaiseau;;;63175;Palaiseau;47009;Palaiseau;A01857;C01743;RER B;RER;0;1;0;0;0;0;0;0;0;0;RATP;1;0;644504.6762;6846577.5281
48.70596898570372, 2.212262375286111;"{""coordinates"": [2.212262375286111, 48.70596898570372], ""type"": ""Point""}";153;174;Lozère;École Polytechnique;;63029;Lozère;474069;Lozère;A01857;C01743;RER B;RER;0;1;0;0;0;0;0;0;0;0;RATP;1;0;642034.621;6845381.1236
48.606744948948126, 2.302059691582639;"{""coordinates"": [2.302059691582639, 48.606744948948126], ""type"": ""Point""}";161;184;Brétigny;;;60247;Brétigny;43098;Brétigny;A01840;C01727;RER C;RER;0;1;0;0;0;0;0;0;0;0;SNCF;1;1;648544.6367;6834288.0923
48.83428889799084, 2.4716812412178535;"{""coordinates"": [2.471681241217853, 48.83428889799084], ""type"": ""Point""}";167;343;Nogent-sur-Marne;;;71590;Nogent-sur-Marne;47886;Nogent-sur-Marne;A01856;C01742;RER A;RER;0;1;0;0;0;0;0;0;0;0;RATP;1;0;661218.9659;6859489.168
48.82103881776724, 2.46385679669642;"{""coordinates"": [2.46385679669642, 48.82103881776724], ""type"": ""Point""}";168;344;Joinville-le-Pont;;;70640;Joinville-le-Pont;43135;Joinville-le-Pont;A01856;C01742;RER A;RER;0;1;0;0;0;0;0;0;0;0;RATP;1;0;660634.6209;6858019.7686
48.81398905111016, 2.391686971673029;"{""coordinates"": [2.391686971673029, 48.81398905111016], ""type"": ""Point""}";185;367;Ivry-sur-Seine;;;424396;Ivry-sur-Seine;46366;Ivry-sur-Seine;A01840;C01727;RER C;RER;0;1;0;0;0;0;0;0;0;0;SNCF;1;0;655329.7373;6857274.3209
48.78222618353015, 2.4095902349857026;"{""coordinates"": [2.409590234985703, 48.78222618353015], ""type"": ""Point""}";187;369;Les Ardoines;;;70064;Les Ardoines;43227;Les Ardoines;A01840;C01727;RER C;RER;0;1;0;0;0;0;0;0;0;0;SNCF;1;0;656617.9966;6853732.7521
48.763786806860296, 2.4113867263269753;"{""coordinates"": [2.411386726326975, 48.763786806860296], ""type"": ""Point""}";188;370;Choisy-le-Roi;;;69852;Choisy-le-Roi;43110;Choisy-le-Roi;A01840;C01727;RER C;RER;0;1;0;0;0;0;0;0;0;0;SNCF;1;0;656734.7135;6851681.6089
48.83828254781941, 2.1871107137916823;"{""coordinates"": [2.187110713791682, 48.83828254781941], ""type"": ""Point""}";195;380;Garches - Marnes-la-Coquette;;;70713;Garches - Marnes-la-Coquette;47770;Garches - Marnes-la-Coquette;A02176;C01740;TRAIN L;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;640335.3566;6860110.6115
48.88757361864818, 2.172579449082059;"{""coordinates"": [2.172579449082059, 48.88757361864818], ""type"": ""Point""}";198;386;Rueil-Malmaison;;;70902;Rueil-Malmaison;58875;Rueil-Malmaison;A01856;C01742;RER A;RER;0;1;0;0;0;0;0;0;0;0;RATP;1;0;639326.258;6865602.3414
48.89763744791706, 2.2974199481466626;"{""coordinates"": [2.297419948146663, 48.89763744791706], ""type"": ""Point""}";205;399;Clichy-Levallois;;;72073;Clichy - Levallois;43112;Clichy - Levallois;A02176;C01740;TRAIN L;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;648490.3539;6866632.6918
48.920872803457335, 2.313835382469576;"{""coordinates"": [2.313835382469576, 48.920872803457335], ""type"": ""Point""}";222;429;Les Grésillons;;;72225;Les Grésillons;43230;Les Grésillons;A01840;C01727;RER C;RER;0;1;0;0;0;0;0;0;0;0;SNCF;1;0;649716.2727;6869205.7904
48.37138329410222, 2.387209797177143;"{""coordinates"": [2.387209797177143, 48.37138329410222], ""type"": ""Point""}";227;439;Buno - Gironville;;;59447;Buno - Gironville;43102;Buno - Gironville;A01842;C01728;RER D;RER;0;1;0;0;0;0;0;0;0;0;SNCF;1;0;654619.1223;6808073.8173
49.13828637527201, 2.4901789854211955;"{""coordinates"": [2.490178985421196, 49.13828637527201], ""type"": ""Point""}";232;456;Orry-la-Ville-Coye-la-Forêt;;;411422;Orry-la-Ville - Coye;411421;Orry-la-Ville - Coye;A01842;C01728;RER D;RER;0;1;0;0;0;0;0;0;0;0;SNCF;0;1;662795.0403;6893286.6213
48.1864372095977, 1.3862450209435095;"{""coordinates"": [1.38624502094351, 48.1864372095977], ""type"": ""Point""}";243;484;Bonneval;;;411447;Bonneval;411446;Bonneval;A02179;C01857;TER;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;0;0;580078.5903;6788567.7056
49.079272053175096, 2.3505136349103526;"{""coordinates"": [2.350513634910353, 49.079272053175096], ""type"": ""Point""}";263;263;Villaines;;;67072;Villaines;47522;Villaines;A01849;C01737;TRAIN H;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;652548.9681;6886798.008
49.11406195064319, 2.287915343538356;"{""coordinates"": [2.287915343538356, 49.11406195064319], ""type"": ""Point""}";268;268;Presles-Courcelles;;;67169;Presles - Courcelles;47946;Presles - Courcelles;A01849;C01737;TRAIN H;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;648010.5913;6890706.6158
49.1234518540613, 1.9493326816498444;"{""coordinates"": [1.949332681649844, 49.1234518540613], ""type"": ""Point""}";278;283;Santeuil-le-Perchay;;;67196;Santeuil - Le Perchay;47949;Santeuil - Le Perchay;A01852;C01739;TRAIN J;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;623305.7395;6892026.8129
48.821217037866994, 2.214859791351801;"{""coordinates"": [2.214859791351801, 48.821217037866994], ""type"": ""Point""}";283;290;Sèvres Rive Gauche;;;463754;Sèvres Rive Gauche;43195;Sèvres Rive Gauche;A01847;C01736;TRAIN N;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;642353.1543;6858192.5418
48.80829658953836, 2.334354310989666;"{""coordinates"": [2.334354310989666, 48.80829658953836], ""type"": ""Point""}";292;308;Laplace;;;70427;Laplace;43607;Laplace;A01857;C01743;RER B;RER;0;1;0;0;0;0;0;0;0;0;RATP;1;0;651114.3867;6856675.3581
48.80749262396421, 2.240883066638804;"{""coordinates"": [2.240883066638804, 48.80749262396421], ""type"": ""Point""}";297;319;Meudon-Val-Fleury;;;70412;Meudon Val Fleury;43163;Meudon Val Fleury;A01840;C01727;RER C;RER;0;1;0;0;0;0;0;0;0;0;SNCF;1;0;644249.1142;6856647.9
48.86182227190629, 2.347012688612925;"{""coordinates"": [2.347012688612925, 48.86182227190629], ""type"": ""Point""}";298;326;Châtelet-Les Halles;;;474151;Châtelet les Halles;45102;Châtelet les Halles;A01856 / A01857 / A01842;C01742 / C01743 / C01728;RER A / RER B / RER D;RER;0;1;0;0;0;0;0;0;0;0;RATP;1;1;652093.2252;6862619.0665
48.00660145772837, 2.743192243197975;"{""coordinates"": [2.743192243197975, 48.00660145772837], ""type"": ""Point""}";303;500;Montargis;;;411483;Montargis;411482;Montargis;A01845;C01731;TRAIN R;TRAIN;1;0;0;0;0;1;0;0;0;0;SNCF;0;0;680849.8026;6767388.4005
